Numéro du support;Longitude;Latitude;"Position";"Insee";"Lieu dit";"Adresse";"Code postal";"Commune";"Nature du support";Hauteur en m;"Propriétaire"
1712489;1.10917;49.92944;"01° 06' 33.00'' Est, 49° 55' 46.00'' Nord";"76217";;"R DES MARTYRS DE LA RÉSISTANCE STADE PIERRE DE COUBERTIN";"76200";"DIEPPE";"Pylône autostable"; 32.0;"SFR"
1712493;1.20278;49.97028;"01° 12' 10.00'' Est, 49° 58' 13.00'' Nord";"76618";"LA VIERGE";;"76370";"SAINT-MARTIN-EN-CAMPAGNE";"Pylône autostable"; 15.0;"TDF"
1712559;0.32861;49.71694;"00° 19' 43.00'' Est, 49° 43' 01.00'' Nord";"76291";;"R DE LA GARE ANCIENNE GARE";"76400";"FROBERVILLE";"Pylône autostable"; 50.0;"SFR"
1713554;1.43500;49.88472;"01° 26' 06.00'' Est, 49° 53' 05.00'' Nord";"76286";"FERME DOUMESNIL";"RTE DE PUISENVAL D 26";"76660";"FRESNOY-FOLNY";"Pylône autostable"; 45.0;"Sociétés d'Autoroutes"
1713605;1.43694;49.97000;"01° 26' 13.00'' Est, 49° 58' 12.00'' Nord";"76435";;"RTE DE LA HEUSE";"76260";"LE MESNIL-REAUME";"Pylône autostable"; 47.0;"SFR"
1713632;0.57944;49.50889;"00° 34' 46.00'' Est, 49° 30' 32.00'' Nord";"76281";;"CHEM DE LA VALLETTE";"76170";"LA FRENAYE";"Château d'eau - réservoir"; 39.6;"Syndicat des eaux, Adduction"
1721879;0.92167;49.42778;"00° 55' 18.00'' Est, 49° 25' 40.00'' Nord";"76056";"LES LONGUES LIGNES";"V COM. N°1 DE DUCLAIR À MAUNY";"76480";"BARDOUVILLE";"Pylône tubulaire"; 37.1;"FPS TOWERS"
1722683;1.09556;49.40500;"01° 05' 44.00'' Est, 49° 24' 18.00'' Nord";"76681";"STADE";"31 AV 14 JUILLET (STADE)";"76300";"SOTTEVILLE-LES-ROUEN";"Pylône tubulaire"; 30.0;"Commune, communauté de commune"
1722915;0.27694;49.47722;"00° 16' 37.00'' Est, 49° 28' 38.00'' Nord";"76489";;"RUE DE NOROIT";"76430";"OUDALLE";"Pylône tubulaire"; 36.6;"SFR"
1723993;1.37472;50.04694;"01° 22' 29.00'' Est, 50° 02' 49.00'' Nord";"76711";;"CHEM DES GRANGES";"76470";"LE TREPORT";"Pylône autostable"; 31.6;"SFR"
1723997;1.25917;49.90333;"01° 15' 33.00'' Est, 49° 54' 12.00'' Nord";"76235";"FONDS DU BUC";"BOIS DU PRIEURÉ";"76630";"ENVERMEU";"Pylône autostable"; 32.0;"SFR"
1726441;1.05917;49.31778;"01° 03' 33.00'' Est, 49° 19' 04.00'' Nord";"76178";"LA VOIE BEDANNE";"R MARIE LOUISE ET RAYMOND BOUCHER LA STÉPHANAISE DE CONSTRUCTION ZA DU MOULIN";"76410";"CLEON";"Pylône tubulaire"; 32.6;"SFR"
1726777;1.11389;49.40361;"01° 06' 50.00'' Est, 49° 24' 13.00'' Nord";"76681";;"1 R LAVOISIER IMM LAVOISISER";"76300";"SOTTEVILLE-LES-ROUEN";"Immeuble"; 18.9;"Particulier"
1727164;1.21250;49.88611;"01° 12' 45.00'' Est, 49° 53' 10.00'' Nord";"76624";"QUARTIER DE LA CROIX";"RUE DES VACILLOTS";"76510";"SAINT-NICOLAS-D'ALIERMONT";"Pylône autostable"; 48.4;"SFR"
1733410;1.02944;49.35333;"01° 01' 46.00'' Est, 49° 21' 12.00'' Nord";"76319";"LES ESSARTS";"N138 STATION ESSO STATION ESSO";"76530";"GRAND-COURONNE";"Pylône tubulaire"; 30.0;"ORANGE"
1733676;1.14528;49.63806;"01° 08' 43.00'' Est, 49° 38' 17.00'' Nord";"76249";"LE PIÈRE";"CH. VICINAL N°3 DE LOEUILLY À BIENNAIS PRÈS DU PASSAGE À NIVEAU";"76850";"ETAIMPUIS";"Pylône autostable"; 46.5;"SFR"
1735448;0.59722;49.65111;"00° 35' 50.00'' Est, 49° 39' 04.00'' Nord";"76258";;"R DE L'HOSPICE";"76640";"FAUVILLE-EN-CAUX";"Château d'eau - réservoir"; 30.0;"Syndicat des eaux, Adduction"
1741196;0.99667;49.79417;"00° 59' 48.00'' Est, 49° 47' 39.00'' Nord";"76051";"LA CROIX ST-LÉONARD";"ROUTE D'ABLEMONT";"76730";"BACQUEVILLE-EN-CAUX";"Pylône autostable"; 30.0;"SFR"
1742521;0.57806;49.55361;"00° 34' 41.00'' Est, 49° 33' 13.00'' Nord";"76388";"LA POINTE";;"76210";"LINTOT";"Château d'eau - réservoir"; 42.0;"Syndicat des eaux, Adduction"
